t_sec,fatigue,focus,heart_age,coherence,resilience
0,87.9,41.3,0.0,43.8,92.0
1,87.9,41.3,0.0,43.8,92.0
2,87.9,41.3,0.0,43.8,92.0
3,87.9,41.3,0.0,43.8,92.0
4,87.9,41.3,0.0,43.8,92.0
5,87.9,41.3,0.0,43.8,92.0
6,87.9,41.3,0.0,43.8,92.0
7,87.9,41.3,0.0,43.8,92.0
8,87.9,41.3,0.0,43.8,92.0
9,87.9,41.3,0.0,43.8,92.0
10,87.9,41.3,0.0,43.8,92.0
11,87.9,41.3,0.0,43.8,92.0
12,87.9,41.3,0.0,43.8,92.0
13,87.9,41.3,0.0,43.8,92.0
14,87.9,41.3,0.0,43.8,92.0
15,87.9,41.3,0.0,43.8,92.0
16,87.9,41.3,0.0,43.8,92.0
17,87.9,41.3,0.0,43.8,92.0
18,87.9,41.3,0.0,43.8,92.0
19,87.9,41.3,0.0,43.8,92.0
20,87.9,41.3,0.0,43.8,92.0
21,87.9,41.3,0.0,43.8,92.0
22,87.9,41.3,0.0,43.8,92.0
23,87.9,41.3,0.0,43.8,92.0
24,87.9,41.3,0.0,43.8,92.0
25,87.9,41.3,0.0,43.8,92.0
26,87.9,41.3,0.0,43.8,92.0
27,87.9,41.3,0.0,43.8,92.0
28,87.9,41.3,0.0,43.8,92.0
29,87.9,41.3,0.0,43.8,92.0
30,87.9,41.3,0.0,43.8,92.0
31,87.9,41.3,0.0,43.8,92.0
32,87.9,41.3,0.0,43.8,92.0
33,87.9,41.3,0.0,43.8,92.0
34,87.9,41.3,0.0,43.8,92.0
35,87.9,41.3,0.0,43.8,92.0
36,87.9,41.3,0.0,43.8,92.0
37,87.9,41.3,0.0,43.8,92.0
38,87.9,41.3,0.0,43.8,92.0
39,87.9,41.3,0.0,43.8,92.0
40,87.9,41.3,0.0,43.8,92.0
41,87.9,41.3,0.0,43.8,92.0
42,87.9,41.3,0.0,43.8,92.0
43,87.9,41.3,0.0,43.8,92.0
44,87.9,41.3,0.0,43.8,92.0
45,87.9,41.3,0.0,43.8,92.0
46,87.9,41.3,0.0,43.8,92.0
47,87.9,41.3,0.0,43.8,92.0
48,87.9,41.3,0.0,43.8,92.0
49,87.9,41.3,0.0,43.8,92.0
50,87.9,41.3,0.0,43.8,92.0
51,87.9,41.3,0.0,43.8,92.0
52,87.9,41.3,0.0,43.8,92.0
53,87.9,41.3,0.0,43.8,92.0
54,87.9,41.3,0.0,43.8,92.0
55,87.9,41.3,0.0,43.8,92.0
56,87.9,41.3,0.0,43.8,92.0
57,87.9,41.3,0.0,43.8,92.0
58,87.9,41.3,0.0,43.8,92.0
59,87.9,41.3,0.0,43.8,92.0
60,87.9,41.3,0.0,43.8,92.0
61,87.7,37.8,0.0,34.1,91.8
62,88.9,38.9,0.0,25.4,92.2
63,88.7,35.1,0.0,26.8,91.9
64,88.1,29.9,0.5,39.1,91.6
65,88.7,38.0,0.3,45.3,91.8
66,88.7,47.4,0.2,37.3,91.9
67,88.1,35.4,0.4,33.4,91.7
68,88.6,35.4,0.0,39.0,92.0
69,88.9,44.8,0.0,33.0,92.1
70,88.7,28.9,0.0,21.5,92.3
71,87.8,34.4,0.0,22.3,92.5
72,86.8,47.3,0.0,34.1,92.8
73,85.5,34.8,0.0,44.7,92.3
74,85.6,31.7,0.0,36.1,92.1
75,86.1,28.7,0.0,24.1,92.2
76,84.9,37.8,0.0,33.3,91.8
77,84.3,39.3,0.0,25.4,91.3
78,83.4,34.2,0.4,16.2,91.1
79,83.0,41.7,0.8,25.1,90.8
80,84.7,17.8,4.2,36.9,89.1
81,85.1,26.0,4.1,48.8,89.1
82,83.5,46.3,0.9,34.7,90.8
83,86.9,13.6,4.2,58.6,89.1
84,86.1,16.9,4.3,51.3,89.2
85,87.0,27.9,3.9,37.6,89.4
86,87.1,22.3,3.4,25.6,89.8
87,85.5,31.7,0.0,20.7,91.6
88,85.8,33.2,0.0,32.4,91.7
89,86.3,49.9,0.0,42.2,91.5
90,88.7,19.4,3.3,29.0,89.9
91,88.7,19.8,3.3,17.8,89.9
92,88.6,27.0,3.6,10.7,89.6
93,88.5,28.2,3.8,14.9,89.6
94,88.4,19.5,4.2,14.7,89.4
95,88.3,24.7,4.4,10.2,89.3
96,89.3,22.6,4.6,13.9,89.1
97,88.7,16.4,5.0,30.8,88.7
98,88.0,22.5,5.2,49.7,88.6
99,87.8,28.6,5.6,53.8,88.3
100,80.2,27.6,8.7,41.2,84.1
101,74.2,38.7,12.1,40.2,80.1
102,63.8,68.9,13.3,57.4,75.4
103,59.3,24.1,15.1,61.3,72.3
104,49.4,51.3,29.9,51.8,57.4
105,51.3,43.3,30.5,67.5,58.5
106,51.5,37.8,30.6,65.8,58.6
107,52.4,43.3,29.7,52.9,59.1
108,52.4,44.0,28.0,41.6,60.0
109,52.5,43.0,24.9,50.6,61.3
110,52.3,50.3,23.7,56.7,61.9
111,53.6,42.3,23.4,49.8,62.2
