t_sec,fatigue,focus,heart_age,coherence,resilience
0,65.6,18.3,36.4,92.8,56.6
1,65.6,18.3,36.4,92.8,56.6
2,65.6,18.3,36.4,92.8,56.6
3,65.6,18.3,36.4,92.8,56.6
4,65.6,18.3,36.4,92.8,56.6
5,65.6,18.3,36.4,92.8,56.6
6,65.6,18.3,36.4,92.8,56.6
7,65.6,18.3,36.4,92.8,56.6
8,65.6,18.3,36.4,92.8,56.6
9,65.6,18.3,36.4,92.8,56.6
10,65.6,18.3,36.4,92.8,56.6
11,65.6,18.3,36.4,92.8,56.6
12,65.6,18.3,36.4,92.8,56.6
13,65.6,18.3,36.4,92.8,56.6
14,65.6,18.3,36.4,92.8,56.6
15,65.6,18.3,36.4,92.8,56.6
16,65.6,18.3,36.4,92.8,56.6
17,65.6,18.3,36.4,92.8,56.6
18,65.6,18.3,36.4,92.8,56.6
19,65.6,18.3,36.4,92.8,56.6
20,65.6,18.3,36.4,92.8,56.6
21,65.6,18.3,36.4,92.8,56.6
22,65.6,18.3,36.4,92.8,56.6
23,65.6,18.3,36.4,92.8,56.6
24,65.6,18.3,36.4,92.8,56.6
25,65.6,18.3,36.4,92.8,56.6
26,65.6,18.3,36.4,92.8,56.6
27,65.6,18.3,36.4,92.8,56.6
28,65.6,18.3,36.4,92.8,56.6
29,65.6,18.3,36.4,92.8,56.6
30,65.6,18.3,36.4,92.8,56.6
31,65.6,18.3,36.4,92.8,56.6
32,65.6,18.3,36.4,92.8,56.6
33,65.6,18.3,36.4,92.8,56.6
34,65.6,18.3,36.4,92.8,56.6
35,65.6,18.3,36.4,92.8,56.6
36,65.6,18.3,36.4,92.8,56.6
37,65.6,18.3,36.4,92.8,56.6
38,65.6,18.3,36.4,92.8,56.6
39,65.6,18.3,36.4,92.8,56.6
40,65.6,18.3,36.4,92.8,56.6
41,65.6,18.3,36.4,92.8,56.6
42,65.6,18.3,36.4,92.8,56.6
43,65.6,18.3,36.4,92.8,56.6
44,65.6,18.3,36.4,92.8,56.6
45,65.6,18.3,36.4,92.8,56.6
46,65.6,18.3,36.4,92.8,56.6
47,65.6,18.3,36.4,92.8,56.6
48,65.6,18.3,36.4,92.8,56.6
49,65.6,18.3,36.4,92.8,56.6
50,65.6,18.3,36.4,92.8,56.6
51,65.6,18.3,36.4,92.8,56.6
52,65.6,18.3,36.4,92.8,56.6
53,65.6,18.3,36.4,92.8,56.6
54,65.6,18.3,36.4,92.8,56.6
55,65.6,18.3,36.4,92.8,56.6
56,65.6,18.3,36.4,92.8,56.6
57,65.6,18.3,36.4,92.8,56.6
58,65.6,18.3,36.4,92.8,56.6
59,65.6,18.3,36.4,92.8,56.6
60,65.6,18.3,36.4,92.8,56.6
61,65.8,26.3,37.3,96.2,56.1
62,65.9,27.3,38.3,96.7,55.5
63,65.9,27.5,39.2,95.1,55.0
64,65.6,21.3,45.9,86.5,50.6
65,65.9,20.8,48.7,81.6,48.5
66,64.8,22.7,49.0,79.6,47.7
67,64.5,23.4,54.1,81.0,43.8
68,64.0,24.7,54.1,78.0,43.5
69,63.7,22.8,55.6,81.8,42.3
70,67.4,18.0,55.5,86.9,42.4
71,65.8,24.8,55.2,87.9,41.5
72,66.0,28.5,58.8,86.0,39.4
73,64.5,25.7,60.7,81.2,37.7
74,64.0,29.2,60.6,73.7,37.4
75,64.2,31.8,61.2,74.0,37.2
76,62.5,31.5,62.0,76.0,35.5
77,62.0,30.4,66.0,71.1,32.4
78,59.1,34.0,66.5,76.9,31.8
79,59.1,38.6,64.8,77.9,32.9
80,60.0,38.6,64.9,78.9,32.7
81,60.0,31.5,64.8,74.2,32.8
82,60.5,31.3,63.0,66.2,34.2
83,60.2,36.2,58.3,74.4,37.3
84,60.0,34.5,55.7,76.9,38.8
85,60.1,39.0,55.2,75.0,39.2
86,60.3,36.8,56.2,77.0,38.4
87,61.0,35.4,54.0,77.5,40.3
88,60.8,37.0,51.9,80.2,41.4
89,60.1,37.0,51.1,77.9,41.0
90,60.2,39.9,46.4,70.4,43.3
91,58.9,40.6,44.7,79.2,44.2
92,64.2,35.6,39.0,82.7,52.0
93,59.6,38.2,44.1,80.4,44.7
94,59.0,44.1,43.5,72.3,45.2
95,58.6,37.4,43.6,69.4,44.8
96,58.2,35.5,43.3,70.1,44.7
97,57.7,38.0,43.1,63.0,44.8
98,57.7,39.6,42.6,56.8,45.2
99,57.1,40.8,40.5,58.8,45.8
100,56.3,37.9,38.9,62.8,46.1
101,56.2,38.3,36.0,64.9,47.6
102,56.2,46.3,34.9,69.9,48.3
103,53.8,39.2,34.3,69.7,48.6
104,53.7,37.7,33.3,71.9,49.2
105,62.0,39.6,30.4,69.0,57.9
106,54.1,44.9,32.8,55.5,49.7
107,53.1,47.8,32.0,58.6,50.2
108,53.4,43.1,32.2,68.1,50.6
109,53.5,34.6,32.5,82.2,50.7
110,52.4,23.3,32.6,82.8,49.5
111,52.4,30.6,32.8,79.1,49.4
112,50.5,42.1,33.0,76.3,48.9
113,49.3,47.8,33.0,75.7,47.5
114,49.1,41.8,34.1,77.5,46.9
115,50.9,36.3,34.9,80.1,46.5
116,51.5,35.1,34.7,82.6,47.5
117,49.8,40.3,30.9,83.7,49.3
118,47.6,39.0,28.8,81.6,50.3
119,48.3,42.5,25.8,79.2,53.1
120,53.8,30.7,25.8,77.0,58.4
121,54.2,31.6,26.4,76.7,58.5
122,54.7,33.2,26.6,77.5,58.9
123,54.6,41.2,27.0,78.3,58.7
124,55.2,36.0,27.3,83.0,59.1
125,55.5,36.7,27.3,84.3,58.8
126,57.8,47.2,27.9,82.2,58.6
127,57.8,49.5,28.7,78.0,58.2
128,58.0,52.3,29.2,73.1,57.9
129,57.9,33.8,30.3,69.2,57.3
130,57.6,41.0,31.6,64.9,56.5
131,57.5,53.1,32.3,60.4,56.0
132,57.8,57.3,33.0,60.2,55.6
133,58.3,45.0,33.7,65.2,55.6
134,58.2,42.1,35.4,71.5,54.8
135,57.2,39.1,36.6,74.4,54.1
136,57.3,45.2,36.8,73.0,54.0
137,57.4,38.5,36.2,68.6,54.4
138,56.8,46.1,36.3,68.2,54.4
139,57.1,47.4,36.2,74.6,54.4
140,56.7,38.8,36.8,75.1,53.8
141,56.4,42.6,36.9,72.6,53.6
142,55.8,48.5,36.7,76.2,53.9
143,55.7,44.2,37.1,82.6,53.3
144,55.8,38.9,37.2,84.4,53.3
145,55.0,53.7,38.0,81.0,52.3
146,55.3,48.8,36.7,80.5,53.2
147,55.4,36.1,35.8,77.1,53.6
148,56.5,43.2,34.9,69.6,54.1
149,56.5,56.9,34.3,70.3,54.3
150,57.7,48.5,34.2,70.6,54.4
151,57.8,42.5,34.3,74.1,54.5
152,57.1,46.3,34.1,74.7,54.5
153,58.0,55.3,33.2,73.3,54.9
154,56.9,47.6,29.9,76.0,56.7
155,56.7,51.3,27.5,74.2,57.9
156,57.1,49.4,23.7,68.8,59.8
157,59.0,47.6,23.7,63.7,61.4
158,59.1,56.5,23.3,62.9,62.2
159,59.3,58.9,23.4,62.3,62.4
160,65.2,56.4,18.2,66.6,69.0
161,58.1,60.6,23.5,77.2,62.0
162,58.2,67.3,23.3,81.5,62.2
163,58.0,64.2,23.2,80.5,62.1
164,59.1,57.0,23.2,78.5,62.1
165,59.0,65.4,23.2,71.5,62.0
166,57.4,66.2,23.6,67.4,61.6
167,57.7,56.7,23.5,66.3,61.8
168,57.7,61.1,23.0,71.0,62.1
169,57.8,63.0,22.6,75.7,62.3
170,57.8,49.6,22.7,79.0,62.2
171,58.5,53.4,22.7,76.7,62.2
172,58.6,56.5,22.7,65.8,62.2
173,58.5,63.3,22.7,64.8,62.1
174,58.6,68.5,22.4,66.7,62.0
175,58.6,66.8,23.0,67.2,61.6
176,55.8,59.1,24.5,64.7,60.9
177,56.6,62.8,27.9,65.4,59.3
178,56.0,66.8,30.6,64.3,57.3
179,50.6,60.3,31.7,71.7,52.1
180,50.3,64.3,31.8,67.4,51.8
181,48.2,67.6,31.9,70.9,51.8
182,47.7,63.6,31.9,79.4,51.2
183,47.5,57.8,32.4,84.2,50.7
184,47.5,64.7,32.7,83.7,50.7
185,47.7,70.2,32.6,75.4,50.7
186,47.7,65.3,32.6,73.7,50.7
187,47.9,67.3,32.6,73.8,50.9
188,47.9,71.8,32.3,72.7,51.0
189,48.0,73.4,32.5,72.2,50.9
190,48.1,71.5,32.4,74.1,51.1
191,49.5,72.5,31.7,79.9,50.9
192,49.1,68.3,31.1,79.3,51.0
193,49.0,61.6,30.1,78.1,51.5
194,49.0,65.5,27.6,76.7,52.5
195,48.0,66.9,26.3,71.9,53.0
196,47.1,63.7,25.1,68.4,53.2
197,46.4,60.8,24.5,68.8,53.5
198,48.3,68.7,24.8,69.3,55.6
199,48.4,63.6,24.6,71.6,55.8
200,47.3,59.2,24.9,73.3,55.5
201,47.2,70.3,24.8,77.9,55.6
202,46.4,78.6,24.2,81.3,55.9
203,52.3,84.0,22.1,76.7,63.0
204,45.3,77.7,24.0,59.5,56.0
205,45.3,67.7,24.9,59.4,55.6
206,45.4,61.7,26.1,66.8,55.5
207,45.4,54.3,27.2,71.0,55.0
208,45.2,53.9,28.1,72.9,54.5
209,44.3,48.1,28.5,71.7,54.1
210,44.6,51.8,28.8,74.8,54.0
211,44.7,59.1,27.3,74.3,55.0
212,44.7,65.6,28.0,64.1,54.6
213,44.4,55.1,29.1,67.7,53.9
214,44.8,54.1,31.9,70.4,52.6
215,44.5,51.6,34.2,72.2,51.5
216,40.5,53.5,36.0,75.0,46.5
217,41.6,56.8,36.2,80.6,46.6
218,48.1,52.4,31.0,77.8,55.7
219,40.0,51.0,32.3,78.7,48.2
220,42.9,49.7,32.4,76.6,50.0
221,49.1,45.2,29.2,73.1,57.1
222,49.3,43.7,26.7,72.5,58.4
223,50.3,33.0,26.4,74.4,59.4
224,50.3,29.7,25.1,77.5,60.2
225,48.8,29.3,24.3,78.1,60.4
226,48.7,33.9,24.9,76.9,60.4
227,48.6,47.9,25.3,75.8,60.2
228,48.5,49.7,26.0,74.0,59.8
229,48.6,41.9,26.4,74.1,59.9
230,50.3,50.7,26.3,74.9,60.8
231,50.5,59.7,25.6,77.8,61.2
232,50.6,54.3,25.0,81.1,61.6
233,51.4,38.5,24.4,83.7,61.9
234,51.9,42.8,23.9,84.7,62.1
235,51.3,50.6,23.2,83.7,62.3
236,51.3,50.2,23.0,80.4,62.4
237,51.3,47.2,24.0,78.6,62.3
238,50.7,42.5,24.7,77.5,61.6
239,49.8,41.9,24.9,78.5,61.5
240,49.4,46.1,25.1,81.0,61.5
241,49.6,56.5,25.1,83.3,61.6
242,49.6,55.7,24.5,84.4,61.8
243,49.7,47.3,23.9,86.1,62.2
244,48.0,53.0,23.9,82.6,62.4
245,49.7,55.1,24.0,79.1,62.3
246,49.5,48.3,24.3,77.6,62.1
247,49.3,43.1,25.2,79.2,61.5
248,49.0,50.5,25.7,82.9,61.1
249,49.0,47.1,25.5,88.5,61.3
250,50.0,41.3,25.5,90.2,61.3
251,48.9,49.5,25.9,89.2,61.0
252,49.4,53.9,25.9,85.5,61.2
253,49.3,42.5,26.1,79.5,61.0
254,54.2,37.7,19.8,76.5,67.5
255,50.2,40.7,29.1,77.7,59.6
256,59.8,42.7,23.2,77.5,68.1
257,50.5,44.9,31.4,84.8,57.3
258,50.2,40.0,31.2,88.0,57.2
259,51.1,40.6,31.3,87.7,57.3
260,51.6,59.3,31.3,84.0,57.3
261,51.7,52.9,32.0,79.0,56.9
262,52.0,42.9,33.0,81.4,56.3
263,51.5,55.8,33.8,79.9,55.7
264,51.5,54.3,34.0,81.2,55.7
265,51.7,43.1,34.2,81.9,55.2
266,51.8,47.4,33.9,83.8,55.3
267,51.7,42.8,34.3,82.6,55.1
268,51.8,36.3,33.9,76.2,55.3
269,55.0,38.1,33.6,73.9,55.3
270,54.9,48.3,34.8,74.6,54.4
271,55.8,43.3,35.7,76.3,54.0
272,55.8,52.2,35.9,77.2,53.9
273,55.3,57.7,36.0,82.7,54.0
274,55.5,55.9,35.6,84.2,54.4
