t_sec,fatigue,focus,heart_age,coherence,resilience
0,91.3,24.5,13.1,55.5,81.4
1,91.3,24.5,13.1,55.5,81.4
2,91.3,24.5,13.1,55.5,81.4
3,91.3,24.5,13.1,55.5,81.4
4,91.3,24.5,13.1,55.5,81.4
5,91.3,24.5,13.1,55.5,81.4
6,91.3,24.5,13.1,55.5,81.4
7,91.3,24.5,13.1,55.5,81.4
8,91.3,24.5,13.1,55.5,81.4
9,91.3,24.5,13.1,55.5,81.4
10,91.3,24.5,13.1,55.5,81.4
11,91.3,24.5,13.1,55.5,81.4
12,91.3,24.5,13.1,55.5,81.4
13,91.3,24.5,13.1,55.5,81.4
14,91.3,24.5,13.1,55.5,81.4
15,91.3,24.5,13.1,55.5,81.4
16,91.3,24.5,13.1,55.5,81.4
17,91.3,24.5,13.1,55.5,81.4
18,91.3,24.5,13.1,55.5,81.4
19,91.3,24.5,13.1,55.5,81.4
20,91.3,24.5,13.1,55.5,81.4
21,91.3,24.5,13.1,55.5,81.4
22,91.3,24.5,13.1,55.5,81.4
23,91.3,24.5,13.1,55.5,81.4
24,91.3,24.5,13.1,55.5,81.4
25,91.3,24.5,13.1,55.5,81.4
26,91.3,24.5,13.1,55.5,81.4
27,91.3,24.5,13.1,55.5,81.4
28,91.3,24.5,13.1,55.5,81.4
29,91.3,24.5,13.1,55.5,81.4
30,91.3,24.5,13.1,55.5,81.4
31,91.3,24.5,13.1,55.5,81.4
32,91.3,24.5,13.1,55.5,81.4
33,91.3,24.5,13.1,55.5,81.4
34,91.3,24.5,13.1,55.5,81.4
35,91.3,24.5,13.1,55.5,81.4
36,91.3,24.5,13.1,55.5,81.4
37,91.3,24.5,13.1,55.5,81.4
38,91.3,24.5,13.1,55.5,81.4
39,91.3,24.5,13.1,55.5,81.4
40,91.3,24.5,13.1,55.5,81.4
41,91.3,24.5,13.1,55.5,81.4
42,91.3,24.5,13.1,55.5,81.4
43,91.3,24.5,13.1,55.5,81.4
44,91.3,24.5,13.1,55.5,81.4
45,91.3,24.5,13.1,55.5,81.4
46,91.3,24.5,13.1,55.5,81.4
47,91.3,24.5,13.1,55.5,81.4
48,91.3,24.5,13.1,55.5,81.4
49,91.3,24.5,13.1,55.5,81.4
50,91.3,24.5,13.1,55.5,81.4
51,91.3,24.5,13.1,55.5,81.4
52,91.3,24.5,13.1,55.5,81.4
53,91.3,24.5,13.1,55.5,81.4
54,91.3,24.5,13.1,55.5,81.4
55,91.3,24.5,13.1,55.5,81.4
56,91.3,24.5,13.1,55.5,81.4
57,91.3,24.5,13.1,55.5,81.4
58,91.3,24.5,13.1,55.5,81.4
59,91.3,24.5,13.1,55.5,81.4
60,91.3,24.5,13.1,55.5,81.4
61,90.8,17.2,14.8,53.2,80.2
62,91.0,18.1,15.3,50.2,79.8
63,90.9,25.4,16.9,43.7,78.8
64,87.5,25.4,18.5,38.6,77.5
65,87.4,28.2,18.3,40.4,77.5
66,87.1,29.7,18.3,46.2,77.5
67,87.4,28.4,18.3,61.0,77.4
68,86.5,25.4,18.5,71.1,77.2
69,85.9,32.7,18.5,76.0,77.2
70,85.8,20.3,18.6,82.4,77.2
71,85.5,26.9,18.4,80.9,77.2
72,84.8,36.3,18.4,60.3,77.2
73,84.6,31.1,18.4,57.9,77.2
74,84.7,22.8,18.5,58.9,77.1
75,84.5,20.9,18.8,67.2,76.9
76,85.1,22.6,18.7,69.2,77.1
77,86.1,25.1,18.4,73.0,77.4
78,86.0,25.9,18.4,72.6,77.4
79,85.9,22.2,18.4,66.4,77.4
80,86.4,30.9,18.7,63.4,77.3
81,86.1,24.1,18.8,66.0,77.1
82,86.9,25.2,18.7,71.9,77.2
83,86.5,30.8,18.6,78.4,77.3
84,86.3,28.5,18.5,84.9,77.3
85,86.2,21.9,18.2,87.8,77.5
86,86.2,25.6,17.5,82.1,77.9
87,85.4,31.8,17.2,69.6,78.0
88,85.3,33.5,17.1,62.2,78.1
89,84.9,27.3,16.9,63.0,78.1
90,84.9,32.0,16.7,69.6,78.3
91,85.0,21.2,16.8,77.0,78.2
92,85.0,23.6,17.2,83.4,78.0
93,85.0,22.3,17.3,86.5,77.9
94,84.5,20.4,17.4,82.9,77.9
95,84.5,25.2,17.6,73.3,77.7
96,84.0,32.7,18.3,68.9,77.2
97,84.0,29.0,18.3,72.3,77.2
98,84.3,34.5,18.4,78.0,77.2
99,84.2,28.1,18.4,82.4,77.2
100,84.2,32.8,18.5,83.4,77.2
101,84.1,25.0,18.6,82.0,77.1
102,84.0,26.2,18.8,80.2,77.0
103,84.3,26.1,19.0,77.5,76.9
104,84.3,33.9,19.3,69.7,76.7
105,84.2,35.4,19.8,80.3,76.4
106,84.5,31.3,20.3,89.5,75.9
107,76.3,20.4,20.5,91.4,73.0
108,75.1,31.6,26.5,93.4,68.6
109,51.3,23.1,50.8,91.1,39.9
110,51.4,24.5,50.8,89.9,40.0
111,51.2,29.3,51.8,88.8,39.4
112,50.3,24.4,51.9,87.5,38.0
113,50.2,22.4,52.7,87.1,37.6
114,50.2,24.8,53.3,88.1,37.4
115,50.1,30.8,53.9,89.9,37.1
116,50.2,32.3,55.0,91.4,36.6
117,50.4,25.8,55.5,91.8,36.6
118,50.3,26.7,55.4,90.8,36.6
119,50.2,31.2,55.5,89.4,36.5
120,50.0,31.3,56.0,88.4,36.2
121,57.7,35.8,48.9,88.9,47.0
122,49.5,27.3,56.7,87.5,36.0
123,49.2,23.6,58.0,89.0,35.1
124,49.1,17.7,61.1,90.6,33.3
125,49.3,18.6,63.7,91.3,31.8
126,49.1,20.8,65.6,91.1,30.6
127,48.5,22.7,66.6,90.3,30.1
128,48.6,23.6,67.4,90.9,29.6
129,48.1,23.2,67.9,89.5,28.9
130,48.1,29.9,67.7,87.0,29.1
131,47.0,26.4,67.4,88.2,29.0
132,46.6,25.6,67.6,92.7,28.6
133,46.5,28.2,68.5,95.7,28.0
134,44.6,34.2,72.9,96.1,23.9
135,44.1,35.1,72.8,94.6,23.5
136,43.4,33.9,73.2,91.4,23.4
137,43.3,22.0,72.9,87.6,23.5
138,42.9,17.6,72.7,86.1,23.2
139,43.1,18.1,75.8,85.8,21.0
140,42.7,21.7,76.4,88.9,20.3
141,42.7,32.2,75.9,92.8,20.7
142,43.1,33.2,75.7,94.6,21.2
143,43.1,40.7,74.2,94.3,21.7
144,43.1,29.5,74.7,92.3,21.4
